"Problem","Severity","Normalized Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"80","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","46","60","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"81","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","46","85","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"82","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","46","99","no-trailing-spaces","Trailing spaces not allowed.","https://eslint.org/docs/latest/rules/no-trailing-spaces","layout","eslint-lwc"
"83","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","47","1","indent","Expected indentation of 8 spaces but found 12.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"84","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","47","13","no-console","Unexpected console statement.","https://eslint.org/docs/latest/rules/no-console","suggestion","eslint-lwc"
"85","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","47","25","prefer-template","Unexpected string concatenation.","https://eslint.org/docs/latest/rules/prefer-template","suggestion","eslint-lwc"
"86","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","47","25","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"87","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","47","49","space-infix-ops","Operator '+' must be spaced.","https://eslint.org/docs/latest/rules/space-infix-ops","layout","eslint-lwc"
"88","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","47","75","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"89","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","49","1","no-trailing-spaces","Trailing spaces not allowed.","https://eslint.org/docs/latest/rules/no-trailing-spaces","layout","eslint-lwc"
"90","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","50","16","space-before-function-paren","Missing space before function parentheses.","https://eslint.org/docs/latest/rules/space-before-function-paren","layout","eslint-lwc"
"91","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","50","18","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"92","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","50","18","space-before-blocks","Missing space before opening brace.","https://eslint.org/docs/latest/rules/space-before-blocks","layout","eslint-lwc"
"93","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","51","1","indent","Expected indentation of 8 spaces but found 7.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"94","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","51","24","space-infix-ops","Operator '=' must be spaced.","https://eslint.org/docs/latest/rules/space-infix-ops","layout","eslint-lwc"
"95","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","52","1","indent","Expected indentation of 8 spaces but found 7.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"96","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","53","1","indent","Expected indentation of 8 spaces but found 7.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"97","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","53","8","no-console","Unexpected console statement.","https://eslint.org/docs/latest/rules/no-console","suggestion","eslint-lwc"
"98","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","53","20","prefer-template","Unexpected string concatenation.","https://eslint.org/docs/latest/rules/prefer-template","suggestion","eslint-lwc"
"99","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","53","20","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"100","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","53","44","space-infix-ops","Operator '+' must be spaced.","https://eslint.org/docs/latest/rules/space-infix-ops","layout","eslint-lwc"
"101","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","54","1","indent","Expected indentation of 8 spaces but found 6.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"102","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","54","7","capitalized-comments","Comments should not begin with a lowercase character.","https://eslint.org/docs/latest/rules/capitalized-comments","suggestion","eslint-lwc"
"103","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","55","1","no-trailing-spaces","Trailing spaces not allowed.","https://eslint.org/docs/latest/rules/no-trailing-spaces","layout","eslint-lwc"
"104","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","56","1","max-len","This line has a length of 84. Maximum allowed is 80.","https://eslint.org/docs/latest/rules/max-len","layout","eslint-lwc"
"105","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","56","9","no-whitespace-before-property","Unexpected whitespace before property catch.","https://eslint.org/docs/latest/rules/no-whitespace-before-property","layout","eslint-lwc"
"106","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","56","21","object-curly-spacing","There should be no space after '{'.","https://eslint.org/docs/latest/rules/object-curly-spacing","layout","eslint-lwc"
"107","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","56","22","quote-props","Unquoted property 'base64' found.","https://eslint.org/docs/latest/rules/quote-props","suggestion","eslint-lwc"
"108","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","56","29","key-spacing","Missing space before value for key 'base64'.","https://eslint.org/docs/latest/rules/key-spacing","layout","eslint-lwc"
"109","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","56","51","object-property-newline","Object properties must go on a new line.","https://eslint.org/docs/latest/rules/object-property-newline","layout","eslint-lwc"
"110","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","56","51","quote-props","Unquoted property 'filename' found.","https://eslint.org/docs/latest/rules/quote-props","suggestion","eslint-lwc"
"111","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","56","60","key-spacing","Missing space before value for key 'filename'.","https://eslint.org/docs/latest/rules/key-spacing","layout","eslint-lwc"
"112","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","57","1","indent","Expected indentation of 12 spaces but found 8.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"113","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","57","9","dot-location","Expected dot to be on same line as object.","https://eslint.org/docs/latest/rules/dot-location","layout","eslint-lwc"
"114","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","57","15","arrow-parens","Expected parentheses around arrow function argument.","https://eslint.org/docs/latest/rules/arrow-parens","layout","eslint-lwc"
"115","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","57","25","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"116","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","58","1","indent","Expected indentation of 16 spaces but found 12.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"117","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","58","13","no-console","Unexpected console statement.","https://eslint.org/docs/latest/rules/no-console","suggestion","eslint-lwc"
"118","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","58","25","prefer-template","Unexpected string concatenation.","https://eslint.org/docs/latest/rules/prefer-template","suggestion","eslint-lwc"
"119","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","58","25","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
